Order_Date,Product,Category,Region,Quantity,Sales,Cost,Profit
2025-02-07 04:51:27.775551102,Printer,Office Equipment,South,3,223911,199629.15,24281.85
2025-02-07 22:21:53.026052104,Keyboard,Accessories,North,3,102486,85118.52,17367.48
2025-02-08 15:52:18.276553106,Mouse,Office Equipment,North,2,113892,100891.44,13000.56
2025-02-09 09:22:43.527054108,Tablet,Electronics,North,1,21788,15703.68,6084.32
2025-02-10 02:53:08.777555110,Mouse,Accessories,West,7,261639,153950.39,107688.61
2025-02-10 20:23:34.028056112,Webcam,Office Equipment,South,7,110691,82109.01,28581.99
2025-02-11 13:53:59.278557114,Laptop,Accessories,South,2,146430,103823.57,42606.43
2025-02-12 07:24:24.529058116,Keyboard,Electronics,South,7,75782,64075.57,11706.43
2025-02-13 00:54:49.779559118,Headphones,Accessories,North,8,16480,9629.74,6850.26
2025-02-13 18:25:15.030060120,Keyboard,Accessories,South,1,79648,57417.0,22231.0
2025-02-14 11:55:40.280561122,Tablet,Accessories,South,9,245205,147740.19,97464.81
2025-02-15 05:26:05.531062124,Headphones,Accessories,North,7,226730,150466.32,76263.68
2025-02-15 22:56:30.781563126,Laptop,Electronics,East,3,61566,49749.94,11816.06
2025-02-16 16:26:56.032064128,Tablet,Accessories,North,8,424632,304293.99,120338.01
2025-02-17 09:57:21.282565130,Monitor,Accessories,South,7,495712,337857.92,157854.08
2025-02-18 03:27:46.533066132,Mouse,Office Equipment,North,8,231040,158970.93,72069.07
2025-02-18 20:58:11.783567134,Laptop,Accessories,East,6,17136,12180.38,4955.62
2025-02-19 14:28:37.034068136,Mouse,Office Equipment,North,9,637434,525727.38,111706.62
2025-02-20 07:59:02.284569138,Printer,Electronics,South,5,102745,88589.78,14155.22
2025-02-21 01:29:27.535070140,Monitor,Electronics,East,3,228651,202211.43,26439.57
2025-02-21 18:59:52.785571142,Monitor,Electronics,West,3,49746,41061.15,8684.85
2025-02-22 12:30:18.036072145,Laptop,Electronics,South,1,1161,766.72,394.28
2025-02-23 06:00:43.286573147,Monitor,Office Equipment,East,8,303296,239860.78,63435.22
2025-02-23 23:31:08.537074149,Headphones,Accessories,East,2,6840,4809.62,2030.38
2025-02-24 17:01:33.787575151,Monitor,Electronics,West,3,182445,116606.93,65838.07
2025-02-25 10:31:59.038076153,Mouse,Accessories,North,8,75568,63802.44,11765.56
2025-02-26 04:02:24.288577155,Mouse,Office Equipment,North,8,368000,207349.31,160650.69
2025-02-26 21:32:49.539078157,Tablet,Office Equipment,South,4,67236,58200.6,9035.4
2025-02-27 15:03:14.789579159,Mouse,Office Equipment,West,4,222920,158611.39,64308.61
2025-02-28 08:33:40.040080161,Tablet,Electronics,North,5,152635,117989.99,34645.01
2025-03-01 02:04:05.290581163,Mouse,Accessories,West,6,438246,342171.03,96074.97
2025-03-01 19:34:30.541082165,Headphones,Accessories,North,5,299105,258214.72,40890.28
2025-03-02 13:04:55.791583167,Webcam,Accessories,East,7,10192,7876.73,2315.27
2025-03-03 06:35:21.042084169,Tablet,Office Equipment,North,2,149262,114167.03,35094.97
2025-03-04 00:05:46.292585171,Keyboard,Electronics,West,7,338856,194275.71,144580.29
2025-03-04 17:36:11.543086173,Printer,Office Equipment,East,7,551873,403663.54,148209.46
2025-03-05 11:06:36.793587175,Laptop,Office Equipment,East,1,26463,15945.52,10517.48
2025-03-06 04:37:02.044088177,Mouse,Accessories,East,7,279601,225946.08,53654.92
2025-03-06 22:07:27.294589179,Monitor,Office Equipment,West,5,197815,144262.06,53552.94
2025-03-07 15:37:52.545090181,Webcam,Accessories,South,3,15609,12301.14,3307.86
2025-03-08 09:08:17.795591183,Mouse,Electronics,South,3,196884,111157.85,85726.15
2025-03-09 02:38:43.046092185,Monitor,Accessories,South,4,290396,168335.94,122060.06
2025-03-09 20:09:08.296593187,Printer,Electronics,West,2,52698,42195.98,10502.02
2025-03-10 13:39:33.547094189,Printer,Accessories,East,2,64720,37228.85,27491.15
2025-03-11 07:09:58.797595191,Printer,Office Equipment,South,1,32085,18446.95,13638.05
2025-03-12 00:40:24.048096193,Monitor,Office Equipment,West,5,112575,62393.34,50181.66
2025-03-12 18:10:49.298597195,Mouse,Electronics,South,4,312156,276187.98,35968.02
2025-03-13 11:41:14.549098197,Printer,Electronics,North,2,88170,71252.64,16917.36
2025-03-14 05:11:39.799599199,Headphones,Electronics,South,3,82374,55490.26,26883.74
2025-03-14 22:42:05.050100201,Tablet,Accessories,South,7,185619,121355.37,64263.63
2025-03-15 16:12:30.300601203,Monitor,Accessories,East,7,540449,363395.82,177053.18
2025-03-16 09:42:55.551102205,Monitor,Electronics,West,4,183400,150595.01,32804.99
2025-03-17 03:13:20.801603207,Mouse,Office Equipment,East,5,63505,49627.87,13877.13
2025-03-17 20:43:46.052104209,Monitor,Accessories,East,5,149630,91995.28,57634.72
2025-03-18 14:14:11.302605211,Monitor,Accessories,East,6,109668,67000.38,42667.62
2025-03-19 07:44:36.553106213,Printer,Accessories,East,9,411669,240595.2,171073.8
2025-03-20 01:15:01.803607215,Mouse,Electronics,East,2,85458,66751.75,18706.25
2025-03-20 18:45:27.054108217,Printer,Electronics,South,5,244320,199739.04,44580.96
2025-03-21 12:15:52.304609219,Tablet,Electronics,East,3,172668,110985.16,61682.84
2025-03-22 05:46:17.555110221,Webcam,Electronics,East,4,111960,62398.75,49561.25
2025-03-22 23:16:42.805611223,Tablet,Electronics,West,6,122850,71100.68,51749.32
2025-03-23 16:47:08.056112225,Webcam,Office Equipment,North,8,217784,193555.75,24228.25
2025-03-24 10:17:33.306613227,Printer,Office Equipment,South,1,23779,15537.33,8241.67
2025-03-25 03:47:58.557114229,Tablet,Electronics,South,8,630408,516447.95,113960.05
2025-03-25 21:18:23.807615231,Mouse,Accessories,South,7,84427,64893.31,19533.69
2025-03-26 14:48:49.058116233,Laptop,Electronics,East,1,66561,45506.35,21054.65
2025-03-27 08:19:14.308617235,Printer,Office Equipment,East,2,99306,61767.39,37538.61
2025-03-28 01:49:39.559118237,Webcam,Office Equipment,East,3,100926,59797.17,41128.83
2025-03-28 19:20:04.809619239,Headphones,Accessories,West,1,27416,20980.22,6435.78
2025-03-29 12:50:30.060120241,Webcam,Office Equipment,North,9,583416,479055.61,104360.39
2025-03-30 06:20:55.310621243,Headphones,Electronics,East,8,363720,282016.3,81703.7
2025-03-30 23:51:20.561122245,Monitor,Accessories,North,2,10296,7573.8,2722.2
2025-03-31 17:21:45.811623247,Tablet,Electronics,West,9,320697,181092.12,139604.88
2025-04-01 10:52:11.062124249,Headphones,Electronics,South,7,358239,318464.11,39774.89
2025-04-02 04:22:36.312625251,Webcam,Accessories,East,9,635715,527357.36,108357.64
2025-04-02 21:53:01.563126253,Monitor,Electronics,North,6,213276,139159.97,74116.03
2025-04-03 15:23:26.813627255,Laptop,Office Equipment,North,6,285384,254844.95,30539.05
2025-04-04 08:53:52.064128257,Mouse,Electronics,East,4,279400,212528.0,66872.0
2025-04-05 02:24:17.314629259,Mouse,Accessories,South,2,92786,69946.53,22839.47
2025-04-05 19:54:42.565130261,Mouse,Accessories,South,7,432404,351036.64,81367.36
2025-04-06 13:25:07.815631263,Headphones,Accessories,South,5,340745,284222.02,56522.98
2025-04-07 06:55:33.066132265,Laptop,Electronics,West,6,391044,304923.41,86120.59
2025-04-08 00:25:58.316633267,Headphones,Accessories,North,2,28520,16964.65,11555.35
2025-04-08 17:56:23.567134269,Tablet,Accessories,North,5,112135,74950.32,37184.68
2025-04-09 11:26:48.817635271,Headphones,Electronics,North,4,247468,216492.25,30975.75
2025-04-10 04:57:14.068136273,Laptop,Office Equipment,West,9,117792,74045.87,43746.13
2025-04-10 22:27:39.318637275,Laptop,Electronics,North,6,316398,215232.42,101165.58
2025-04-11 15:58:04.569138277,Tablet,Accessories,West,2,90476,63444.21,27031.79
2025-04-12 09:28:29.819639279,Laptop,Accessories,South,1,33897,23856.43,10040.57
2025-04-13 02:58:55.070140281,Webcam,Electronics,East,5,384335,293835.2,90499.8
2025-04-13 20:29:20.320641283,Laptop,Office Equipment,North,9,645840,568388.63,77451.37
2025-04-14 13:59:45.571142285,Mouse,Accessories,North,6,462714,293472.86,169241.14
2025-04-15 07:30:10.821643288,Webcam,Accessories,South,7,142212,84264.23,57947.77
2025-04-16 01:00:36.072144290,Webcam,Accessories,East,5,213700,132304.81,81395.19
2025-04-16 18:31:01.322645292,Tablet,Electronics,West,6,40656,34981.39,5674.61
2025-04-17 12:01:26.573146294,Keyboard,Accessories,East,5,119995,93120.17,26874.83
2025-04-18 05:31:51.823647296,Keyboard,Office Equipment,South,9,649215,422033.49,227181.51
2025-04-18 23:02:17.074148298,Laptop,Accessories,South,6,218676,182721.6,35954.4
2025-04-19 16:32:42.324649300,Webcam,Accessories,East,8,445632,379446.51,66185.49
2025-04-20 10:03:07.575150302,Keyboard,Office Equipment,West,2,104772,88666.45,16105.55
2025-04-21 03:33:32.825651304,Keyboard,Accessories,West,9,649368,566004.92,83363.08
2025-04-21 21:03:58.076152306,Laptop,Electronics,North,5,80315,51263.81,29051.19
2025-04-22 14:34:23.326653308,Keyboard,Electronics,West,7,72429,58976.38,13452.62
2025-04-23 08:04:48.577154310,Headphones,Electronics,East,1,26655,18956.74,7698.26
2025-04-24 01:35:13.827655312,Monitor,Office Equipment,South,5,338890,286260.21,52629.79
2025-04-24 19:05:39.078156314,Tablet,Accessories,North,2,37618,30281.43,7336.57
2025-04-25 12:36:04.328657316,Monitor,Electronics,North,6,6714,5517.27,1196.73
2025-04-26 06:06:29.579158318,Laptop,Office Equipment,South,1,50608,39456.86,11151.14
2025-04-26 23:36:54.829659320,Mouse,Accessories,West,3,105621,64650.62,40970.38
2025-04-27 17:07:20.080160322,Tablet,Office Equipment,South,5,104185,77176.02,27008.98
2025-04-28 10:37:45.330661324,Laptop,Electronics,West,4,268016,239776.34,28239.66
2025-04-29 04:08:10.581162326,Webcam,Electronics,South,3,144342,126744.66,17597.34
2025-04-29 21:38:35.831663328,Mouse,Electronics,East,5,3905,2206.76,1698.24
2025-04-30 15:09:01.082164330,Monitor,Office Equipment,West,8,223360,135732.56,87627.44
2025-05-01 08:39:26.332665332,Laptop,Office Equipment,East,4,158120,94256.13,63863.87
2025-05-02 02:09:51.583166334,Webcam,Electronics,North,1,1558,1252.78,305.22
2025-05-02 19:40:16.833667336,Tablet,Office Equipment,South,7,537320,449320.34,87999.66
2025-05-03 13:10:42.084168338,Tablet,Electronics,North,8,231232,144457.33,86774.67
2025-05-04 06:41:07.334669340,Printer,Electronics,North,3,91068,66210.85,24857.15
2025-05-05 00:11:32.585170342,Webcam,Accessories,North,6,58200,49135.12,9064.88
2025-05-05 17:41:57.835671344,Headphones,Office Equipment,North,2,129356,104323.1,25032.9
2025-05-06 11:12:23.086172346,Keyboard,Electronics,South,7,241479,178642.06,62836.94
2025-05-07 04:42:48.336673348,Mouse,Electronics,North,8,208888,158049.19,50838.81
2025-05-07 22:13:13.587174350,Webcam,Office Equipment,South,6,250410,182280.0,68130.0
2025-05-08 15:43:38.837675352,Printer,Accessories,South,6,213342,139555.95,73786.05
2025-05-09 09:14:04.088176354,Keyboard,Accessories,East,5,8695,6501.75,2193.25
2025-05-10 02:44:29.338677356,Keyboard,Electronics,West,8,529288,418724.95,110563.05
2025-05-10 20:14:54.589178358,Laptop,Office Equipment,West,1,45772,39165.41,6606.59
2025-05-11 13:45:19.839679360,Keyboard,Accessories,South,4,246848,190739.94,56108.06
2025-05-12 07:15:45.090180362,Headphones,Office Equipment,East,4,63592,51916.03,11675.97
2025-05-13 00:46:10.340681364,Tablet,Office Equipment,South,3,171009,103635.74,67373.26
2025-05-13 18:16:35.591182366,Printer,Electronics,South,3,21414,15237.03,6176.97
2025-05-14 11:47:00.841683368,Keyboard,Accessories,South,4,28280,15646.36,12633.64
2025-05-15 05:17:26.092184370,Laptop,Electronics,East,1,69285,44088.65,25196.35
2025-05-15 22:47:51.342685372,Headphones,Accessories,West,2,19220,15457.91,3762.09
2025-05-16 16:18:16.593186374,Monitor,Accessories,East,9,716769,643037.47,73731.53
2025-05-17 09:48:41.843687376,Tablet,Accessories,North,2,25230,14752.29,10477.71
2025-05-18 03:19:07.094188378,Tablet,Accessories,East,5,197810,136592.36,61217.64
2025-05-18 20:49:32.344689380,Printer,Accessories,East,9,210699,174885.4,35813.6
2025-05-19 14:19:57.595190382,Tablet,Office Equipment,East,9,297504,184872.7,112631.3
2025-05-20 07:50:22.845691384,Keyboard,Electronics,East,8,629048,468187.68,160860.32
2025-05-21 01:20:48.096192386,Laptop,Office Equipment,West,1,2469,1991.43,477.57
2025-05-21 18:51:13.346693388,Tablet,Accessories,North,1,44253,33879.87,10373.13
2025-05-22 12:21:38.597194390,Tablet,Electronics,West,9,44730,27545.12,17184.88
2025-05-23 05:52:03.847695392,Monitor,Accessories,West,8,85800,57862.2,27937.8
2025-05-23 23:22:29.098196394,Monitor,Electronics,East,9,213264,175799.3,37464.7
2025-05-24 16:52:54.348697396,Mouse,Office Equipment,South,7,99183,73790.1,25392.9
2025-05-25 10:23:19.599198398,Headphones,Electronics,South,3,113640,62710.0,50930.0
2025-05-26 03:53:44.849699400,Keyboard,Electronics,West,3,146460,119562.15,26897.85
2025-05-26 21:24:10.100200402,Tablet,Electronics,West,2,95828,53889.74,41938.26
2025-05-27 14:54:35.350701404,Webcam,Electronics,East,5,80385,65192.78,15192.22
2025-05-28 08:25:00.601202406,Tablet,Electronics,West,3,167727,104136.36,63590.64
2025-05-29 01:55:25.851703408,Laptop,Accessories,East,6,174750,154710.67,20039.33
2025-05-29 19:25:51.102204410,Mouse,Electronics,South,2,49178,33381.01,15796.99
2025-05-30 12:56:16.352705412,Headphones,Electronics,South,3,110961,73725.38,37235.62
2025-05-31 06:26:41.603206414,Webcam,Office Equipment,North,5,331690,199714.14,131975.86
2025-05-31 23:57:06.853707416,Mouse,Electronics,South,1,50638,33267.22,17370.78
2025-06-01 17:27:32.104208418,Printer,Office Equipment,West,1,43323,37120.35,6202.65
2025-06-02 10:57:57.354709420,Headphones,Accessories,South,9,339372,304999.39,34372.61
2025-06-03 04:28:22.605210422,Tablet,Electronics,East,7,381927,259293.42,122633.58
2025-06-03 21:58:47.855711424,Tablet,Office Equipment,South,1,31159,22029.84,9129.16
2025-06-04 15:29:13.106212426,Headphones,Office Equipment,North,8,259120,208002.06,51117.94
2025-06-05 08:59:38.356713428,Tablet,Accessories,South,3,238902,205495.98,33406.02
2025-06-06 02:30:03.607214430,Keyboard,Electronics,East,8,380440,288208.23,92231.77
2025-06-06 20:00:28.857715432,Headphones,Electronics,East,5,100040,68730.88,31309.12
2025-06-07 13:30:54.108216434,Mouse,Office Equipment,West,1,42787,29712.05,13074.95
2025-06-08 07:01:19.358717436,Headphones,Electronics,South,7,555912,441097.47,114814.53
2025-06-09 00:31:44.609218438,Webcam,Office Equipment,East,5,137420,75735.79,61684.21
2025-06-09 18:02:09.859719440,Tablet,Electronics,North,6,51750,39684.81,12065.19
2025-06-10 11:32:35.110220442,Keyboard,Office Equipment,West,6,219354,147937.28,71416.72
2025-06-11 05:03:00.360721444,Keyboard,Electronics,North,8,560552,464119.72,96432.28
2025-06-11 22:33:25.611222446,Printer,Accessories,South,9,158283,92207.24,66075.76
2025-06-12 16:03:50.861723448,Mouse,Electronics,South,2,12408,9378.84,3029.16
2025-06-13 09:34:16.112224450,Monitor,Electronics,South,9,549684,394860.29,154823.71
2025-06-14 03:04:41.362725452,Monitor,Accessories,West,9,664956,515217.17,149738.83
2025-06-14 20:35:06.613226454,Headphones,Electronics,East,7,510720,292488.71,218231.29
2025-06-15 14:05:31.863727456,Printer,Accessories,West,1,27708,20863.97,6844.03
2025-06-16 07:35:57.114228458,Laptop,Electronics,North,7,465668,347630.29,118037.71
2025-06-17 01:06:22.364729460,Headphones,Office Equipment,West,5,201910,150671.51,51238.49
2025-06-17 18:36:47.615230462,Printer,Office Equipment,North,6,158538,120682.4,37855.6
2025-06-18 12:07:12.865731464,Mouse,Electronics,West,7,207655,163375.43,44279.57
2025-06-19 05:37:38.116232466,Mouse,Electronics,East,5,338515,281558.55,56956.45
2025-06-19 23:08:03.366733468,Mouse,Electronics,North,7,32298,20814.03,11483.97
2025-06-20 16:38:28.617234470,Mouse,Office Equipment,South,9,589185,494189.11,94995.89
2025-06-21 10:08:53.867735472,Mouse,Electronics,South,3,110463,80018.24,30444.76
2025-06-22 03:39:19.118236474,Printer,Office Equipment,West,8,590376,340629.48,249746.52
2025-06-22 21:09:44.368737476,Printer,Accessories,South,2,51852,29581.19,22270.81
2025-06-23 14:40:09.619238478,Keyboard,Office Equipment,North,7,127904,85309.85,42594.15
2025-06-24 08:10:34.869739480,Webcam,Office Equipment,South,2,8424,6947.39,1476.61
2025-06-25 01:41:00.120240482,Monitor,Accessories,East,4,7468,5957.14,1510.86
2025-06-25 19:11:25.370741484,Tablet,Office Equipment,East,7,366968,303121.16,63846.84
2025-06-26 12:41:50.621242486,Mouse,Electronics,West,3,12678,9268.18,3409.82
2025-06-27 06:12:15.871743488,Laptop,Electronics,North,2,56446,39741.92,16704.08
2025-06-27 23:42:41.122244490,Tablet,Office Equipment,East,7,67256,40461.77,26794.23
2025-06-28 17:13:06.372745492,Printer,Electronics,East,1,78214,52001.94,26212.06
2025-06-29 10:43:31.623246494,Laptop,Office Equipment,North,8,289144,202952.13,86191.87
2025-06-30 04:13:56.873747496,Laptop,Electronics,South,3,95472,55470.2,40001.8
2025-06-30 21:44:22.124248498,Laptop,Electronics,South,2,18854,11825.5,7028.5
2025-07-01 15:14:47.374749500,Keyboard,Office Equipment,West,3,68829,52267.29,16561.71
2025-07-02 08:45:12.625250502,Printer,Electronics,South,5,319745,258188.36,61556.64
2025-07-03 02:15:37.875751504,Laptop,Office Equipment,North,8,617944,555792.2,62151.8
2025-07-03 19:46:03.126252506,Mouse,Electronics,East,7,425131,372665.44,52465.56
2025-07-04 13:16:28.376753508,Headphones,Electronics,South,7,182259,141232.1,41026.9
2025-07-05 06:46:53.627254510,Laptop,Accessories,West,7,546532,381171.54,165360.46
2025-07-06 00:17:18.877755512,Keyboard,Accessories,South,8,184896,142862.13,42033.87
2025-07-06 17:47:44.128256514,Tablet,Office Equipment,North,1,6971,5750.92,1220.08
2025-07-07 11:18:09.378757516,Printer,Accessories,West,4,144524,85474.05,59049.95
2025-07-08 04:48:34.629258518,Webcam,Office Equipment,South,6,191088,132513.17,58574.83
2025-07-08 22:18:59.879759520,Keyboard,Accessories,West,9,587088,495461.65,91626.35
2025-07-09 15:49:25.130260522,Laptop,Electronics,North,2,3354,2295.28,1058.72
2025-07-10 09:19:50.380761524,Printer,Office Equipment,East,1,5260,3945.82,1314.18
2025-07-11 02:50:15.631262526,Headphones,Office Equipment,North,2,66558,50299.16,16258.84
2025-07-11 20:20:40.881763528,Laptop,Electronics,North,7,154952,95228.34,59723.66
2025-07-12 13:51:06.132264530,Keyboard,Office Equipment,North,3,162153,109742.3,52410.7
2025-07-13 07:21:31.382765532,Monitor,Office Equipment,North,2,24112,16084.61,8027.39
2025-07-14 00:51:56.633266534,Mouse,Accessories,East,7,196686,109980.68,86705.32
2025-07-14 18:22:21.883767536,Webcam,Office Equipment,East,2,24126,13473.58,10652.42
2025-07-15 11:52:47.134268538,Tablet,Electronics,West,3,141957,119399.18,22557.82
2025-07-16 05:23:12.384769540,Keyboard,Accessories,South,7,519890,335627.87,184262.13
2025-07-16 22:53:37.635270542,Printer,Accessories,East,4,109864,80346.57,29517.43
2025-07-17 16:24:02.885771544,Webcam,Electronics,East,1,60389,39527.86,20861.14
2025-07-18 09:54:28.136272546,Webcam,Electronics,South,5,137435,120838.04,16596.96
2025-07-19 03:24:53.386773548,Webcam,Accessories,East,9,712926,456810.09,256115.91
2025-07-19 20:55:18.637274550,Laptop,Office Equipment,North,8,470784,329727.64,141056.36
2025-07-20 14:25:43.887775552,Mouse,Accessories,North,9,225864,193216.62,32647.38
2025-07-21 07:56:09.138276554,Laptop,Electronics,South,9,303066,255992.8,47073.2
2025-07-22 01:26:34.388777556,Printer,Accessories,West,7,452242,278190.11,174051.89
2025-07-22 18:56:59.639278558,Laptop,Electronics,West,4,281868,234211.21,47656.79
2025-07-23 12:27:24.889779560,Monitor,Accessories,South,5,298410,211980.14,86429.86
2025-07-24 05:57:50.140280562,Mouse,Office Equipment,South,1,39810,28624.95,11185.05
2025-07-24 23:28:15.390781564,Mouse,Accessories,North,1,56588,33767.08,22820.92
2025-07-25 16:58:40.641282566,Printer,Accessories,West,3,28218,16315.94,11902.06
2025-07-26 10:29:05.891783568,Tablet,Electronics,East,8,299312,240879.94,58432.06
2025-07-27 03:59:31.142284570,Monitor,Electronics,North,2,91758,66410.9,25347.1
2025-07-27 21:29:56.392785572,Keyboard,Electronics,South,4,316448,222430.59,94017.41
2025-07-28 15:00:21.643286576,Laptop,Accessories,West,2,76300,61446.52,14853.48
2025-07-29 08:30:46.893787576,Headphones,Office Equipment,East,5,236905,193771.59,43133.41
2025-07-30 02:01:12.144288580,Laptop,Electronics,East,9,422217,255702.16,166514.84
2025-07-30 19:31:37.394789580,Webcam,Electronics,North,1,6512,4972.43,1539.57
2025-07-31 13:02:02.645290584,Laptop,Accessories,West,5,253075,151180.41,101894.59
2025-08-01 06:32:27.895791584,Keyboard,Electronics,West,9,68859,55981.08,12877.92
2025-08-02 00:02:53.146292588,Laptop,Office Equipment,South,1,58216,45404.66,12811.34
2025-08-02 17:33:18.396793588,Monitor,Office Equipment,West,9,331902,293671.91,38230.09
2025-08-03 11:03:43.647294592,Monitor,Electronics,West,8,345216,198200.69,147015.31
2025-08-04 04:34:08.897795592,Mouse,Electronics,North,4,291720,166271.4,125448.6
2025-08-04 22:04:34.148296596,Printer,Accessories,West,5,69835,45306.54,24528.46
2025-08-05 15:34:59.398797596,Tablet,Office Equipment,East,5,157550,101083.61,56466.39
2025-08-06 09:05:24.649298600,Headphones,Office Equipment,North,6,331146,210755.41,120390.59
2025-08-07 02:35:49.899799600,Webcam,Electronics,North,7,452599,392488.92,60110.08
2025-08-07 20:06:15.150300604,Laptop,Accessories,South,8,102312,65207.65,37104.35
2025-08-08 13:36:40.400801604,Laptop,Office Equipment,West,8,363808,234722.52,129085.48
2025-08-09 07:07:05.651302608,Keyboard,Office Equipment,South,2,88192,71946.1,16245.9
2025-08-10 00:37:30.901803608,Printer,Accessories,East,9,213039,150705.69,62333.31
2025-08-10 18:07:56.152304612,Monitor,Accessories,North,7,312473,256805.53,55667.47
2025-08-11 11:38:21.402805612,Headphones,Office Equipment,North,4,196852,112772.21,84079.79
2025-08-12 05:08:46.653306616,Mouse,Office Equipment,North,4,120936,87152.52,33783.48
2025-08-12 22:39:11.903807616,Monitor,Accessories,East,8,584704,328466.1,256237.9
2025-08-13 16:09:37.154308620,Webcam,Office Equipment,East,4,256584,146747.73,109836.27
2025-08-14 09:40:02.404809620,Printer,Electronics,South,6,24924,21615.42,3308.58
2025-08-15 03:10:27.655310624,Webcam,Electronics,South,5,96215,57607.37,38607.63
2025-08-15 20:40:52.905811624,Tablet,Accessories,South,3,146604,107951.45,38652.55
